,season,teamName,playerName,position,game_appear,game_lineups,game_minutes,shot_success_rate,duel_success_rate,dribble_success_rate,key_pass,pass_accura,fouls_drawn,label
594,2021,Real Madrid,E. Hazard,Attacker,18.0,7.0,712.0,0.0,0.6326530612244898,0.8064516129032258,27.0,19.0,30.0,Normal
951,2022,Espanyol,Raúl de Tomás,Attacker,0.0,0.0,0.0,0.0,0.45081967213114754,0.68,9.0,6.0,23.0,Bad
470,2021,Valencia,Hélder Costa,Attacker,22.0,13.0,1117.0,0.0,0.36923076923076925,0.39655172413793105,17.0,8.0,14.0,Normal
458,2021,Athletic Club,Nico Williams,Attacker,34.0,11.0,1324.0,0.0,0.4311111111111111,0.4888888888888889,16.0,8.0,23.0,Normal
751,2021,Rayo Vallecano,Bebé,Attacker,29.0,6.0,850.0,0.03225806451612903,0.44029850746268656,0.6041666666666666,15.0,6.0,16.0,Normal
843,2022,Athletic Club,Álex Berenguer,Attacker,37.0,26.0,2302.0,0.09090909090909091,0.42382271468144045,0.45,52.0,15.0,25.0,Normal
263,2020,Real Sociedad,Carlos Fernández,Attacker,11.0,4.0,388.0,0.16666666666666666,0.3333333333333333,0.4,6.0,6.0,9.0,Bad
463,2021,Valencia,Gonçalo Guedes,Attacker,36.0,30.0,2614.0,0.22,0.48476454293628807,0.5161290322580645,43.0,14.0,74.0,Good
848,2022,Athletic Club,Gorka Guruzeta,Attacker,30.0,17.0,1421.0,0.16666666666666666,0.3877551020408163,0.5263157894736842,14.0,9.0,14.0,Normal
1128,2022,Osasuna,Kike Barja,Attacker,27.0,15.0,1315.0,0.07142857142857142,0.4065934065934066,0.47435897435897434,26.0,10.0,14.0,Normal
306,2020,Valladolid,Fabián Orellana,Attacker,30.0,27.0,2153.0,0.25,0.37388724035608306,0.4142857142857143,32.0,17.0,57.0,Good
1008,2022,Getafe,Borja Mayoral,Attacker,35.0,33.0,2775.0,0.21052631578947367,0.3322784810126582,0.39655172413793105,22.0,16.0,38.0,Good
548,2021,Levante,Roger,Attacker,29.0,25.0,2124.0,0.16279069767441862,0.352059925093633,0.5,23.0,10.0,28.0,Normal
124,2020,Celta Vigo,Nolito,Attacker,36.0,35.0,2627.0,0.18421052631578946,0.43059490084985835,0.5454545454545454,35.0,19.0,41.0,Good
237,2020,Eibar,Kike García,Attacker,37.0,36.0,3105.0,0.16,0.4869942196531792,0.6666666666666666,26.0,15.0,92.0,Good
