,season,teamName,playerName,position,game_appear,game_lineups,game_minutes,shot_success_rate,duel_success_rate,dribble_success_rate,key_pass,pass_accura,fouls_drawn,label
331,2020,Cadiz,A. Lozano,Attacker,29.0,18.0,1529.0,0.09090909090909091,0.40809968847352024,0.6363636363636364,11.0,5.0,32.0,Normal
1010,2022,Getafe,Juanmi Latasa,Attacker,18.0,2.0,434.0,0.09090909090909091,0.5028901734104047,0.3333333333333333,6.0,5.0,11.0,Bad
875,2022,Valencia,Alberto Marí,Attacker,5.0,0.0,80.0,0.5,0.29411764705882354,0.25,0.0,2.0,2.0,Bad
467,2021,Valencia,Bryan Gil,Attacker,13.0,9.0,755.0,0.0,0.4636363636363636,0.4857142857142857,10.0,11.0,20.0,Normal
1131,2022,Osasuna,A. Budimir,Attacker,31.0,22.0,1808.0,0.16666666666666666,0.45121951219512196,0.5,11.0,6.0,22.0,Normal
52,2020,Athletic Club,K. Kodro,Attacker,3.0,0.0,42.0,0.5,0.4,1.0,0.0,2.0,1.0,Bad
929,2022,Celta Vigo,Iago Aspas,Attacker,37.0,31.0,2867.0,0.18461538461538463,0.44656488549618323,0.4666666666666667,82.0,24.0,57.0,Good
182,2020,Alaves,Joselu,Attacker,37.0,34.0,3037.0,0.15492957746478872,0.6243822075782537,0.509090909090909,30.0,16.0,74.0,Good
807,2022,Barcelona,Raphinha,Attacker,36.0,25.0,2083.0,0.1206896551724138,0.4979919678714859,0.4583333333333333,58.0,23.0,37.0,Normal
1068,2022,Valladolid,J. Narváez,Attacker,5.0,1.0,147.0,0.0,0.5185185185185185,0.5,0.0,5.0,9.0,Bad
1063,2022,Valladolid,D. Machís,Attacker,11.0,7.0,599.0,0.0,0.39436619718309857,0.4074074074074074,9.0,10.0,12.0,Bad
274,2020,Real Sociedad,Portu,Attacker,37.0,24.0,2188.0,0.3076923076923077,0.35784313725490197,0.5,26.0,9.0,25.0,Normal
410,2021,Barcelona,Ferran Torres,Attacker,18.0,17.0,1417.0,0.1,0.44,0.35135135135135137,12.0,26.0,20.0,Normal
315,2020,Valladolid,S. Weissman,Attacker,32.0,24.0,2137.0,0.1935483870967742,0.31443298969072164,0.47058823529411764,19.0,7.0,16.0,Normal
371,2020,Osasuna,Kike Barja,Attacker,33.0,17.0,1431.0,0.1111111111111111,0.47767857142857145,0.6463414634146342,16.0,10.0,23.0,Normal
73,2020,Valencia,M. Gómez,Attacker,31.0,31.0,2699.0,0.1794871794871795,0.5209876543209877,0.6,13.0,11.0,70.0,Normal
959,2022,Espanyol,L. Koleosho,Attacker,4.0,0.0,54.0,1.0,0.5,0.5,0.0,4.0,0.0,Bad
591,2021,Real Madrid,G. Bale,Attacker,5.0,4.0,283.0,0.07692307692307693,0.38461538461538464,0.25,2.0,8.0,0.0,Bad
1162,2022,Elche,L. Boyé,Attacker,35.0,29.0,2475.0,0.125,0.44017094017094016,0.616,29.0,14.0,45.0,Good
1090,2022,Almeria,Adri Embarba,Attacker,29.0,18.0,1477.0,0.10526315789473684,0.44368600682593856,0.43434343434343436,32.0,11.0,30.0,Normal
761,2021,Elche,L. Boyé,Attacker,24.0,22.0,1724.0,0.2,0.4189189189189189,0.6477272727272727,22.0,12.0,40.0,Normal
855,2022,Athletic Club,Malcom Adu,Attacker,8.0,0.0,76.0,0.0,0.7307692307692307,0.6666666666666666,3.0,4.0,8.0,Bad
273,2020,Real Sociedad,Mikel Oyarzabal,Attacker,33.0,30.0,2430.0,0.2391304347826087,0.4157303370786517,0.46,52.0,19.0,40.0,Good
644,2021,Getafe,J. Juan Macías,Attacker,7.0,2.0,200.0,0.0,0.5833333333333334,0.5,0.0,5.0,11.0,Bad
441,2021,Athletic Club,Muniain,Attacker,35.0,34.0,2803.0,0.12903225806451613,0.5562310030395137,0.625,107.0,33.0,81.0,Good
866,2022,Valencia,M. Gómez,Attacker,3.0,0.0,106.0,0.0,0.2777777777777778,0.0,2.0,3.0,3.0,Bad
442,2021,Athletic Club,Álex Berenguer,Attacker,34.0,24.0,2172.0,0.08823529411764706,0.4481865284974093,0.4647887323943662,43.0,15.0,46.0,Normal
643,2021,Getafe,Jaime Mata,Attacker,22.0,4.0,657.0,0.125,0.35333333333333333,0.4444444444444444,8.0,6.0,17.0,Normal
971,2022,Real Madrid,Rodrygo,Attacker,34.0,25.0,2379.0,0.125,0.5031847133757962,0.5384615384615384,47.0,27.0,49.0,Normal
121,2020,Celta Vigo,Santi Mina,Attacker,34.0,29.0,2422.0,0.2926829268292683,0.4491150442477876,0.4,15.0,13.0,62.0,Normal
344,2020,Huesca,Rafa Mir,Attacker,38.0,32.0,2880.0,0.125,0.40641711229946526,0.5384615384615384,9.0,6.0,20.0,Normal
674,2021,Real Sociedad,Mikel Oyarzabal,Attacker,22.0,19.0,1673.0,0.3103448275862069,0.44,0.5116279069767442,39.0,17.0,26.0,Normal
