season,teamName,playerName,playerAge,nationality,height(cm),weight(kg),game_appear,game_lineups,game_minutes,position,rating,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goal_conceded,goal_assists,goal_saved,pass_total,key_pass,pass_accura,tackle_total,tackle_blocks,tackle_intercep,duel_total,duel_won,dribble_attemp,dribble_success,fouls_drawn,fouls_committed,yellow_card,yollowed_card,red_card,penalty_scored,penalty_missed,penalty_saved
2020,Barcelona,Carles Pérez,26,Spain,173.0,75.0,0.0,0.0,0.0,Attacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,R. Araujo,25,Uruguay,188.0,79.0,24.0,16.0,1507.0,Defender,7.029166,8.0,5.0,14.0,10.0,4.0,2.0,0.0,1.0,0.0,1065.0,3.0,40.0,23.0,15.0,20.0,135.0,99.0,8.0,8.0,17.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Pedri,22,Spain,174.0,60.0,37.0,28.0,2427.0,Midfielder,6.935135,9.0,22.0,9.0,18.0,9.0,3.0,0.0,3.0,0.0,1695.0,39.0,40.0,44.0,1.0,33.0,244.0,120.0,41.0,29.0,42.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Óscar Mingueza,25,Spain,184.0,75.0,27.0,23.0,1905.0,Defender,6.951851,4.0,8.0,9.0,11.0,6.0,2.0,0.0,2.0,0.0,1595.0,8.0,54.0,52.0,6.0,20.0,162.0,90.0,10.0,8.0,16.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Gustavo Maia,23,Brazil,168.0,61.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,J. Oblak,31,Slovenia,188.0,87.0,38.0,38.0,3420.0,Goalkeeper,7.157894,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,103.0,872.0,0.0,13.0,0.0,0.0,0.0,13.0,12.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Atletico Madrid,J. Giménez,29,Uruguay,185.0,77.0,21.0,20.0,1766.0,Defender,7.019047,1.0,2.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,1102.0,4.0,45.0,20.0,11.0,21.0,138.0,83.0,2.0,1.0,17.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,S. Savić,33,Montenegro,187.0,81.0,33.0,33.0,2954.0,Defender,7.021212,0.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,1740.0,2.0,44.0,40.0,19.0,43.0,240.0,151.0,6.0,6.0,16.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,T. Lemar,29,France,171.0,63.0,27.0,19.0,1375.0,Midfielder,7.018518,8.0,18.0,10.0,18.0,11.0,1.0,0.0,3.0,0.0,722.0,21.0,22.0,30.0,1.0,11.0,168.0,102.0,48.0,42.0,23.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Vitolo,34,Spain,185.0,80.0,10.0,3.0,294.0,Midfielder,6.455555,7.0,3.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,148.0,3.0,12.0,4.0,0.0,3.0,39.0,17.0,4.0,2.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Saúl,30,Spain,184.0,76.0,33.0,22.0,2033.0,Midfielder,6.857575,11.0,11.0,12.0,26.0,13.0,2.0,0.0,1.0,0.0,1118.0,24.0,29.0,57.0,2.0,19.0,305.0,149.0,20.0,16.0,15.0,44.0,10.0,0.0,0.0,0.0,1.0,0.0
2020,Atletico Madrid,Koke,32,Spain,176.0,77.0,37.0,34.0,3025.0,Midfielder,7.0,3.0,7.0,3.0,10.0,7.0,1.0,0.0,2.0,0.0,2413.0,38.0,58.0,64.0,6.0,36.0,337.0,160.0,36.0,26.0,44.0,45.0,9.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Á. Correa,29,Argentina,171.0,68.0,38.0,29.0,2409.0,Attacker,6.936842,9.0,26.0,9.0,41.0,23.0,9.0,0.0,8.0,0.0,854.0,38.0,18.0,38.0,1.0,22.0,324.0,131.0,90.0,53.0,30.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,L. Suárez,37,Uruguay,182.0,86.0,32.0,30.0,2521.0,Attacker,7.215625,2.0,17.0,2.0,87.0,43.0,21.0,0.0,3.0,0.0,574.0,27.0,12.0,11.0,0.0,5.0,189.0,90.0,33.0,13.0,40.0,21.0,6.0,0.0,0.0,3.0,0.0,0.0
2020,Atletico Madrid,Šime Vrsaljko,30,Croatia,181.0,76.0,9.0,6.0,519.0,Defender,6.722222,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,18.0,18.0,0.0,8.0,67.0,39.0,2.0,1.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,João Félix,25,Portugal,181.0,70.0,31.0,14.0,1566.0,Attacker,6.932258,17.0,11.0,17.0,31.0,16.0,7.0,0.0,5.0,0.0,666.0,21.0,18.0,8.0,0.0,5.0,229.0,107.0,60.0,30.0,48.0,16.0,6.0,0.0,0.0,1.0,1.0,0.0
2020,Atletico Madrid,Marcos Llorente,29,Spain,184.0,74.0,37.0,33.0,2959.0,Midfielder,7.202702,4.0,7.0,4.0,41.0,22.0,12.0,0.0,11.0,0.0,1243.0,45.0,28.0,71.0,3.0,29.0,365.0,167.0,66.0,39.0,38.0,58.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Hermoso,29,Spain,184.0,75.0,31.0,30.0,2583.0,Defender,6.993548,1.0,6.0,5.0,15.0,5.0,1.0,0.0,1.0,0.0,1770.0,10.0,48.0,55.0,10.0,36.0,226.0,127.0,11.0,9.0,30.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Y. Carrasco,31,Belgium,181.0,73.0,30.0,25.0,2187.0,Midfielder,7.0,5.0,14.0,6.0,36.0,24.0,6.0,0.0,10.0,0.0,845.0,48.0,22.0,27.0,0.0,17.0,290.0,128.0,119.0,66.0,33.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,I. Šaponjić,27,Serbia,190.0,86.0,0.0,0.0,0.0,Attacker,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Josep Calavera,25,Spain,181.0,71.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Óscar Castro,23,Spain,177.0,73.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Ricard Sánchez,24,Spain,175.0,67.0,1.0,0.0,29.0,Defender,6.3,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Álvaro García,24,Spain,184.0,77.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Adrián Corral,21,Spain,183.0,76.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Íñigo Martínez,33,Spain,182.0,76.0,28.0,28.0,2520.0,Defender,6.814285,0.0,0.0,3.0,17.0,7.0,1.0,0.0,0.0,0.0,1445.0,6.0,42.0,22.0,7.0,28.0,232.0,133.0,9.0,7.0,35.0,30.0,9.0,0.0,1.0,0.0,0.0,0.0
2020,Athletic Club,Muniain,32,Spain,170.0,65.0,28.0,23.0,1954.0,Attacker,6.989285,5.0,18.0,6.0,17.0,11.0,5.0,0.0,3.0,0.0,946.0,35.0,29.0,20.0,0.0,11.0,242.0,141.0,61.0,41.0,69.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Álex Berenguer,29,Spain,175.0,73.0,35.0,27.0,2289.0,Attacker,6.908571,8.0,19.0,8.0,34.0,15.0,8.0,0.0,4.0,0.0,753.0,38.0,16.0,47.0,3.0,18.0,356.0,151.0,73.0,35.0,46.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Balenziaga,36,Spain,177.0,76.0,23.0,17.0,1688.0,Defender,6.654545,6.0,4.0,20.0,3.0,1.0,0.0,0.0,1.0,0.0,733.0,8.0,24.0,26.0,7.0,7.0,121.0,65.0,15.0,10.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Yuri,34,Spain,181.0,79.0,23.0,21.0,1684.0,Defender,6.908695,2.0,6.0,5.0,12.0,6.0,1.0,0.0,3.0,0.0,853.0,17.0,30.0,24.0,0.0,11.0,167.0,95.0,35.0,17.0,30.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,De Marcos,35,Spain,182.0,77.0,25.0,17.0,1517.0,Defender,6.648,8.0,7.0,14.0,6.0,5.0,1.0,0.0,2.0,0.0,595.0,12.0,18.0,28.0,1.0,12.0,103.0,52.0,12.0,7.0,5.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Lekue,31,Spain,180.0,70.0,18.0,5.0,633.0,Defender,6.57647,13.0,2.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,305.0,6.0,14.0,9.0,1.0,4.0,78.0,29.0,22.0,13.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Unai Núñez,27,Spain,186.0,80.0,25.0,23.0,2108.0,Defender,6.928,2.0,1.0,14.0,11.0,5.0,1.0,0.0,1.0,0.0,1186.0,6.0,41.0,23.0,14.0,31.0,178.0,101.0,8.0,6.0,11.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Dani García,34,Spain,180.0,81.0,27.0,21.0,1921.0,Midfielder,6.714814,6.0,6.0,14.0,5.0,1.0,0.0,0.0,1.0,0.0,1026.0,8.0,31.0,39.0,7.0,33.0,214.0,107.0,6.0,6.0,22.0,29.0,8.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Raúl García,38,Spain,184.0,83.0,34.0,21.0,1744.0,Midfielder,6.817647,13.0,12.0,13.0,36.0,14.0,5.0,0.0,1.0,0.0,558.0,15.0,10.0,34.0,1.0,15.0,368.0,206.0,13.0,7.0,50.0,50.0,7.0,1.0,1.0,2.0,1.0,0.0
2020,Athletic Club,Ibai Gómez,34,Spain,177.0,72.0,13.0,4.0,421.0,Midfielder,6.646153,9.0,4.0,20.0,4.0,0.0,0.0,0.0,1.0,0.0,131.0,7.0,7.0,6.0,0.0,2.0,35.0,17.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Unai López,29,Spain,170.0,68.0,26.0,15.0,1423.0,Midfielder,6.926923,11.0,12.0,20.0,16.0,10.0,3.0,0.0,0.0,0.0,981.0,18.0,32.0,27.0,5.0,18.0,145.0,69.0,22.0,15.0,20.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,K. Kodro,31,Bosnia and Herzegovina,190.0,80.0,3.0,0.0,42.0,Attacker,6.733333,3.0,0.0,13.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
2020,Athletic Club,I. Williams,30,Ghana,186.0,81.0,38.0,27.0,2392.0,Attacker,6.744736,11.0,18.0,11.0,35.0,17.0,6.0,0.0,6.0,0.0,516.0,30.0,9.0,11.0,1.0,5.0,281.0,119.0,59.0,33.0,36.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,Athletic Club,Mikel Vesga,31,Spain,191.0,83.0,30.0,20.0,1721.0,Midfielder,6.673333,10.0,9.0,17.0,16.0,5.0,0.0,0.0,1.0,0.0,902.0,12.0,24.0,28.0,8.0,27.0,223.0,96.0,11.0,9.0,13.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Asier Villalibre,27,Spain,184.0,86.0,35.0,16.0,1583.0,Attacker,6.708823,19.0,13.0,20.0,33.0,14.0,4.0,0.0,2.0,0.0,281.0,13.0,5.0,3.0,0.0,2.0,204.0,94.0,9.0,3.0,32.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Oihan Sancet,24,Spain,188.0,73.0,24.0,11.0,1034.0,Midfielder,6.679166,13.0,10.0,27.0,17.0,6.0,2.0,0.0,2.0,0.0,345.0,12.0,10.0,8.0,0.0,5.0,129.0,61.0,25.0,18.0,17.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Julen Bernaola,24,Spain,186.0,77.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Beñat Prados,23,Spain,180.0,74.30870917573873,0.0,0.0,0.0,Defender,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Athletic Club,Nico Williams,22,Spain,181.0,67.0,2.0,0.0,55.0,Attacker,6.7,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,4.0,1.0,0.0,1.0,9.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Jaume Doménech,34,Spain,185.0,73.0,28.0,28.0,2520.0,Goalkeeper,6.867857,0.0,0.0,10.0,0.0,0.0,0.0,42.0,0.0,90.0,786.0,0.0,18.0,1.0,0.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020,Valencia,Cristian Rivero,26,Spain,188.0,75.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Valencia,Álex Centelles,25,Spain,185.0,73.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
